Designator,Mid X,Mid Y,Rotation,Layer
A1,385.7625,-64.44375,0.0,bottom
D1,66.675,-48.10125,90.0,top
D10,238.125,-48.5775,90.0,top
D11,257.175,-48.5775,90.0,top
D12,276.225,-48.5775,90.0,top
D13,295.275,-48.5775,90.0,top
D14,326.23125,-50.00625,90.0,top
D15,352.425,-49.53,90.0,top
D16,71.4375,-67.6275,90.0,top
D17,95.25,-67.6275,90.0,top
D18,114.3,-67.6275,90.0,top
D19,133.35,-67.6275,90.0,top
D2,85.725,-48.10125,90.0,top
D20,152.4,-67.6275,90.0,top
D21,171.45,-67.6275,90.0,top
D22,190.5,-68.58,90.0,top
D23,209.55,-68.58,90.0,top
D24,228.6,-67.6275,90.0,top
D25,247.65,-68.58,90.0,top
D26,266.7,-67.6275,90.0,top
D27,285.75,-67.6275,90.0,top
D28,304.8,-68.58,90.0,top
D29,328.6125,-66.19875,90.0,top
D3,104.775,-48.10125,90.0,top
D30,352.425,-67.15125,90.0,top
D31,76.2,-87.63,90.0,top
D32,100.0125,-87.63,90.0,top
D33,119.0625,-86.20125,90.0,top
D34,138.1125,-86.20125,90.0,top
D35,157.1625,-86.20125,90.0,top
D36,176.2125,-86.20125,90.0,top
D37,195.2625,-86.20125,90.0,top
D38,214.3125,-86.6775,90.0,top
D39,233.3625,-86.6775,90.0,top
D4,123.825,-48.10125,90.0,top
D40,252.4125,-86.6775,90.0,top
D41,271.4625,-86.6775,90.0,top
D42,290.5125,-86.6775,90.0,top
D44,321.46875,-86.6775,90.0,top
D45,352.425,-86.6775,90.0,top
D46,78.58125,-105.7275,90.0,top
D47,109.5375,-105.7275,90.0,top
D48,128.5875,-105.7275,90.0,top
D49,147.6375,-105.7275,90.0,top
D5,142.875,-48.10125,90.0,top
D50,166.6875,-105.7275,90.0,top
D51,185.7375,-105.7275,90.0,top
D52,204.7875,-105.7275,90.0,top
D53,223.8375,-105.7275,90.0,top
D54,242.8875,-105.7275,90.0,top
D55,261.9375,-105.7275,90.0,top
D56,280.9875,-105.7275,90.0,top
D58,307.18125,-105.7275,90.0,top
D59,333.375,-105.7275,90.0,top
D6,161.925,-48.10125,90.0,top
D60,352.425,-105.7275,90.0,top
D61,69.05625,-124.7775,90.0,top
D62,90.4875,-125.73,90.0,top
D63,116.22,-125.8,90.0,top
D66,185.7375,-125.73,90.0,top
D7,180.975,-48.5775,90.0,top
D70,257.175,-124.7775,90.0,top
D71,276.225,-124.7775,90.0,top
D72,295.275,-124.7775,90.0,top
D73,314.325,-124.7775,90.0,top
D74,333.375,-124.7775,90.0,top
D75,352.425,-124.7775,90.0,top
D8,200.025,-48.5775,90.0,top
D9,219.075,-48.5775,90.0,top
SW1,57.15,-47.41195,0.0,top
SW10,228.6,-47.41195,0.0,top
SW11,247.65,-47.41195,0.0,top
SW12,266.7,-47.41195,0.0,top
SW13,285.75,-47.41195,0.0,top
SW14,314.325,-47.41195,0.0,top
SW15,342.9,-47.41195,0.0,top
SW16,61.9125,-66.46195,0.0,top
SW17,85.725,-66.46195,0.0,top
SW18,104.775,-66.46195,0.0,top
SW19,123.825,-66.46195,0.0,top
SW2,76.2,-47.41195,0.0,top
SW20,142.875,-66.46195,0.0,top
SW21,161.925,-66.46195,0.0,top
SW22,180.975,-66.46195,0.0,top
SW23,200.025,-66.46195,0.0,top
SW24,219.075,-66.46195,0.0,top
SW25,238.125,-66.46195,0.0,top
SW26,257.15,-66.46195,0.0,top
SW27,276.225,-66.46195,0.0,top
SW28,295.275,-66.46195,0.0,top
SW29,319.0875,-66.46195,0.0,top
SW3,95.25,-47.41195,0.0,top
SW30,342.9,-66.46195,0.0,top
SW31,64.29375,-85.51195,0.0,top
SW32,90.4875,-85.51195,0.0,top
SW33,109.5375,-85.51195,0.0,top
SW34,128.5875,-85.51195,0.0,top
SW35,147.6375,-85.51195,0.0,top
SW36,166.6875,-85.51195,0.0,top
SW37,185.7375,-85.51195,0.0,top
SW38,204.7875,-85.51195,0.0,top
SW39,223.8375,-85.51195,0.0,top
SW4,114.3,-47.41195,0.0,top
SW40,242.8875,-85.51195,0.0,top
SW41,261.9375,-85.51195,0.0,top
SW42,280.9875,-85.51195,0.0,top
SW43,364.33125,-47.625,180.0,top
SW44,311.94375,-85.51195,0.0,top
SW45,342.9,-85.51195,0.0,top
SW46,69.05625,-104.56195,0.0,top
SW47,100.0125,-104.56195,0.0,top
SW48,119.0625,-104.56195,0.0,top
SW49,138.1125,-104.56195,0.0,top
SW5,133.35,-47.41195,0.0,top
SW50,157.1625,-104.56195,0.0,top
SW51,176.2125,-104.56195,0.0,top
SW52,195.2625,-104.56195,0.0,top
SW53,214.3125,-104.56195,0.0,top
SW54,233.3625,-104.56195,0.0,top
SW55,252.4125,-104.56195,0.0,top
SW56,271.4625,-104.56195,0.0,top
SW58,297.65625,-104.56195,0.0,top
SW59,323.85,-104.56195,0.0,top
SW6,152.4,-47.41195,0.0,top
SW60,342.9,-104.56195,0.0,top
SW61,59.53125,-123.61195,0.0,top
SW62,83.34375,-123.61195,0.0,top
SW63,107.15625,-123.61195,0.0,top
SW66,178.59375,-123.61195,0.0,top
SW7,171.45,-47.41195,0.0,top
SW70,247.65,-123.61195,0.0,top
SW71,266.7,-123.61195,0.0,top
SW72,285.75,-123.61195,0.0,top
SW73,304.8,-123.61195,0.0,top
SW74,323.85,-123.61195,0.0,top
SW75,342.9,-123.61195,0.0,top
SW8,190.5,-47.41195,0.0,top
SW9,209.55,-47.41195,0.0,top
U1,364.33125,-61.08125,0.0,top
